Shelter,Animal ID#,Intake Date,Intake Type,Intake Condition,Animal Type,Group,Breed 1,Breed 2
E VALLEY,A0047826,3/21/12,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A0059703,3/29/12,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A0386711,6/21/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A0391010,10/16/12,PERS PROP,ALIVE,CAT,LONGHAIR,DOMESTIC LH,MIX
E VALLEY,A0332413,8/24/13,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A0428652,1/2/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A0412535,4/12/13,OWNER SUR,DEAD,CAT,LONGHAIR,HIMALAYAN,MIX
E VALLEY,A0365739,4/4/12,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A0429093,9/11/12,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A0494759,12/7/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A0472092,8/20/12,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A0435224,8/17/11,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A0497634,8/26/11,OWNER SUR,DEAD,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A0487569,2/24/11,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A0501027,4/30/11,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A0728191,12/13/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A0738777,5/22/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC LH,MIX
E VALLEY,A0619927,7/23/12,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A0540663,2/10/11,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC LH,MIX
E VALLEY,A0817885,3/16/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A0827555,6/27/11,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A0836094,9/26/12,OWNER SUR,ALIVE,CAT,SHORTHAIR,AMER SH,
E VALLEY,A0717265,9/7/13,POS OWNER,ALIVE,CAT,LONGHAIR,DOMESTIC LH,MIX
E VALLEY,A0736808,6/21/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A0597295,10/31/13,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A0597295,12/15/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A0824439,6/22/12,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC LH,MIX
E VALLEY,A0586514,5/20/11,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A0589421,2/5/12,POS OWNER,ALIVE,CAT,SHORTHAIR,SIAMESE,MIX
E VALLEY,A0597262,12/11/12,OWNER SUR,DEAD,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A0571639,4/17/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A0589768,6/7/11,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A0590356,10/25/11,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A0839739,6/11/12,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A0655977,4/21/13,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A0655977,4/22/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A0839730,10/9/12,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A0849861,1/10/12,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A0869029,9/17/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC LH,
E VALLEY,A0870880,6/1/12,OWNER SUR,DEAD,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A0888396,9/3/11,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A0892577,1/4/12,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A0748183,6/4/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A0912000,5/7/11,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A0910311,10/4/11,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A0863538,10/31/11,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A0876299,3/5/11,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC LH,
E VALLEY,A0877746,6/4/12,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A0881229,12/20/12,OWNER SUR,DEAD,CAT,LONGHAIR,DOMESTIC LH,
E VALLEY,A0748184,6/4/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A0929106,8/31/12,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A0931034,6/13/11,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A0922192,10/13/11,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A0922192,4/28/12,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A0923317,1/17/12,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A0885772,6/4/12,OWNER SUR,DEAD,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A0681608,5/14/11,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A0876910,6/4/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC LH,
E VALLEY,A0880936,9/17/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A0928009,9/4/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A0881508,5/13/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,
E VALLEY,A0925522,5/25/11,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A0645916,9/26/11,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,MIX
E VALLEY,A0645921,9/26/11,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH,MIX
