Intake Date,Intake Type,Intake Condition,Animal Type,Group,Breed 1
11/30/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/30/13,STRAY,DEAD,CAT,SHORTHAIR,DOMESTIC SH
11/30/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/30/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/30/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/29/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/29/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
11/29/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
11/27/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/27/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/27/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC MH
11/27/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC LH
11/27/13,OWNER SUR,DEAD,CAT,SHORTHAIR,DOMESTIC SH
11/27/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/27/13,STRAY,DEAD,CAT,SHORTHAIR,DOMESTIC SH
11/27/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
11/27/13,STRAY,ALIVE,CAT,SHORTHAIR,SIAMESE
11/26/13,STRAY,DEAD,CAT,SHORTHAIR,DOMESTIC SH
11/26/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/26/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC MH
11/26/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/26/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/25/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/25/13,STRAY,ALIVE,CAT,SHORTHAIR,SIAMESE
11/25/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/25/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/25/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/25/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/25/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/25/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
11/24/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/24/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/24/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/24/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/24/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/24/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/24/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/24/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/23/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/23/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/23/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/23/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,SNOWSHOE
11/23/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
11/23/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
11/23/13,STRAY,ALIVE,CAT,SHORTHAIR,SIAMESE
11/23/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/23/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/23/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/23/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,SIAMESE
11/23/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/22/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/22/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
