Intake Date,Intake Type,Intake Condition,Animal Type,Group,Breed 1
5/31/13,STRAY,ALIVE,CAT,SHORTHAIR,AMER SH
5/31/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
5/31/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
5/31/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/31/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/31/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/31/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/31/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
5/31/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
5/31/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/31/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/31/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/31/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/31/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
5/31/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/31/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/31/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC LH
5/31/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/31/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/31/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/31/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/31/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/31/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/31/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/31/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/30/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,AMER SH
