Intake Date,Intake Type,Intake Condition,Animal Type,Group,Breed 1
1/1/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/1/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/2/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/2/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/2/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/2/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
1/3/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/3/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/3/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/3/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/3/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/4/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
1/4/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
1/4/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
1/4/13,PERS PROP,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/4/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
1/4/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/4/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/5/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/5/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/5/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/5/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/5/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/5/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/5/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/5/13,OWNER SUR,ALIVE,CAT,LONGHAIR,MAINE COON
1/6/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/6/13,STRAY,DEAD,CAT,SHORTHAIR,DOMESTIC SH
1/6/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/6/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/6/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/6/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/6/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/7/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
1/7/13,STRAY,ALIVE,CAT,SHORTHAIR,AMER SH
1/7/13,STRAY,ALIVE,CAT,SHORTHAIR,AMER SH
1/7/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/7/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/7/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/7/13,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
